date,firm_id,equity_price
2020-10-22,TSLA,141.93
2020-10-23,TSLA,140.21
2020-10-26,TSLA,140.09
2020-10-27,TSLA,141.56
2020-10-28,TSLA,135.34
2020-10-29,TSLA,136.94
2020-10-30,TSLA,129.35
2020-11-02,TSLA,133.5
2020-11-03,TSLA,141.3
2020-11-04,TSLA,140.33
2020-11-05,TSLA,146.03
2020-11-06,TSLA,143.32
2020-11-09,TSLA,140.42
2020-11-10,TSLA,136.79
2020-11-11,TSLA,139.04
2020-11-12,TSLA,137.25
2020-11-13,TSLA,136.17
2020-11-16,TSLA,136.03
2020-11-17,TSLA,147.2
2020-11-18,TSLA,162.21
2020-11-19,TSLA,166.42
2020-11-20,TSLA,163.2
2020-11-23,TSLA,173.95
2020-11-24,TSLA,185.13
2020-11-25,TSLA,191.33
2020-11-27,TSLA,195.25
2020-11-30,TSLA,189.2
2020-12-01,TSLA,194.92
2020-12-02,TSLA,189.61
2020-12-03,TSLA,197.79
2020-12-04,TSLA,199.68
2020-12-07,TSLA,213.92
2020-12-08,TSLA,216.63
2020-12-09,TSLA,201.49
2020-12-10,TSLA,209.02
2020-12-11,TSLA,203.33
2020-12-14,TSLA,213.28
2020-12-15,TSLA,211.08
2020-12-16,TSLA,207.59
2020-12-17,TSLA,218.63
2020-12-18,TSLA,231.67
2020-12-21,TSLA,216.62
2020-12-22,TSLA,213.45
2020-12-23,TSLA,215.33
2020-12-24,TSLA,220.59
2020-12-28,TSLA,221.23
2020-12-29,TSLA,222.0
2020-12-30,TSLA,231.59
2020-01-02,XOM,53.66
2020-01-03,XOM,53.23
2020-01-06,XOM,53.64
2020-01-07,XOM,53.2
2020-01-08,XOM,52.4
2020-01-09,XOM,52.8
2020-01-10,XOM,52.33
2020-01-13,XOM,52.83
2020-01-14,XOM,52.38
2020-01-15,XOM,52.29
2020-01-16,XOM,52.09
2020-01-17,XOM,51.89
2020-01-21,XOM,51.15
2020-01-22,XOM,50.85
2020-01-23,XOM,50.54
2020-01-24,XOM,50.2
2020-01-27,XOM,49.0
2020-01-28,XOM,48.93
2020-01-29,XOM,48.52
2020-01-30,XOM,49.04
2020-01-31,XOM,47.02
2020-02-03,XOM,45.96
2020-02-04,XOM,45.39
2020-02-05,XOM,47.48
2020-02-06,XOM,46.83
2020-02-07,XOM,46.52
2020-02-10,XOM,46.03
2020-02-11,XOM,46.47
2020-02-12,XOM,47.04
2020-02-13,XOM,46.78
2020-02-14,XOM,46.56
2020-02-18,XOM,45.97
2020-02-19,XOM,46.32
2020-02-20,XOM,45.96
2020-02-21,XOM,45.4
2020-02-24,XOM,43.27
2020-02-25,XOM,41.61
2020-02-26,XOM,40.7
2020-02-27,XOM,38.25
2020-02-28,XOM,39.49
2020-03-02,XOM,41.37
2020-03-03,XOM,39.38
2020-03-04,XOM,40.24
2020-03-05,XOM,38.47
2020-03-06,XOM,36.61
2020-03-09,XOM,32.14
2020-03-10,XOM,33.33
2020-03-11,XOM,32.23
2020-03-12,XOM,28.54
2020-03-13,XOM,29.27
2020-03-16,XOM,26.48
2020-03-17,XOM,28.26
2020-03-18,XOM,25.43
2020-03-19,XOM,26.43
2020-03-20,XOM,25.14
2020-03-23,XOM,24.15
2020-03-24,XOM,27.21
2020-03-25,XOM,28.63
2020-03-26,XOM,29.8
2020-03-27,XOM,28.37
2020-03-30,XOM,28.79
2020-03-31,XOM,29.15
2020-04-01,XOM,28.81
2020-04-02,XOM,31.02
2020-04-03,XOM,30.1
2020-04-06,XOM,31.07
2020-04-07,XOM,31.66
2020-04-08,XOM,33.66
2020-04-09,XOM,33.11
2020-04-13,XOM,32.83
2020-04-14,XOM,32.57
2020-04-15,XOM,31.08
2020-04-16,XOM,30.06
2020-04-17,XOM,33.18
2020-04-20,XOM,31.62
2020-04-21,XOM,31.45
2020-04-22,XOM,32.34
2020-04-23,XOM,33.36
2020-04-24,XOM,33.57
2020-04-27,XOM,33.73
2020-04-28,XOM,34.52
2020-04-29,XOM,36.44
2020-04-30,XOM,35.68
2020-05-01,XOM,33.12
2020-05-04,XOM,34.46
2020-05-05,XOM,34.42
2020-05-06,XOM,33.77
2020-05-07,XOM,33.96
2020-05-08,XOM,35.45
2020-05-11,XOM,35.12
2020-05-12,XOM,34.53
2020-05-13,XOM,32.82
2020-05-14,XOM,33.1
2020-05-15,XOM,32.87
2020-05-18,XOM,35.48
2020-05-19,XOM,34.39
2020-05-20,XOM,35.51
2020-05-21,XOM,34.87
2020-05-22,XOM,34.9
2020-05-26,XOM,35.93
2020-05-27,XOM,36.19
2020-05-28,XOM,35.25
2020-05-29,XOM,35.59
2020-06-01,XOM,36.22
2020-06-02,XOM,37.03
2020-06-03,XOM,38.54
2020-06-04,XOM,38.43
2020-06-05,XOM,41.54
2020-06-08,XOM,42.84
2020-06-09,XOM,41.89
2020-06-10,XOM,39.64
2020-06-11,XOM,36.14
2020-06-12,XOM,36.92
2020-06-15,XOM,36.89
2020-06-16,XOM,37.72
2020-06-17,XOM,36.49
2020-06-18,XOM,36.72
2020-06-19,XOM,35.98
2020-06-22,XOM,36.33
2020-06-23,XOM,36.55
2020-06-24,XOM,34.83
2020-06-25,XOM,35.35
2020-06-26,XOM,34.14
2020-06-29,XOM,34.69
2020-06-30,XOM,35.0
2020-07-01,XOM,34.21
2020-07-02,XOM,34.5
2020-07-06,XOM,34.74
2020-07-07,XOM,33.84
2020-07-08,XOM,33.76
2020-07-09,XOM,32.37
2020-07-10,XOM,33.38
2020-07-13,XOM,33.39
2020-07-14,XOM,34.49
2020-07-15,XOM,34.93
2020-07-16,XOM,34.65
2020-07-17,XOM,34.06
2020-07-20,XOM,33.26
2020-07-21,XOM,34.94
2020-07-22,XOM,34.13
2020-07-23,XOM,34.2
2020-07-24,XOM,33.99
2020-07-27,XOM,34.49
2020-07-28,XOM,34.08
2020-07-29,XOM,34.46
2020-07-30,XOM,32.77
2020-07-31,XOM,32.93
2020-08-03,XOM,33.07
2020-08-04,XOM,34.02
2020-08-05,XOM,34.32
2020-08-06,XOM,34.15
2020-08-07,XOM,34.0
2020-08-10,XOM,34.83
2020-08-11,XOM,35.19
2020-08-12,XOM,35.19
2020-08-13,XOM,34.32
2020-08-14,XOM,34.48
2020-08-17,XOM,34.03
2020-08-18,XOM,33.86
2020-08-19,XOM,33.49
2020-08-20,XOM,32.98
2020-08-21,XOM,32.73
2020-08-24,XOM,33.69
2020-08-25,XOM,32.62
2020-08-26,XOM,31.93
2020-08-27,XOM,31.71
2020-08-28,XOM,32.47
2020-08-31,XOM,31.87
2020-09-01,XOM,31.47
2020-09-02,XOM,31.28
2020-09-03,XOM,31.21
2020-09-04,XOM,31.19
2020-09-08,XOM,30.47
